Source,Name,Start,Address,Coordinates,Get Directions,Ticket URL,Rank,Estimated Attendees
PredictHQ,Ravinia Festival,2025-06-06T05:00:00Z,,[],,,Major,N/A
PredictHQ,Chicago Public Schools - Summer Break,2025-06-13T00:00:00Z,,[],,,Major,N/A
PredictHQ,Moderate to Severe Delays - Chicago O'Hare International Airport (ORD),2025-07-19T13:00:00Z,,[],,,Major,N/A
PredictHQ,Wicker Park Fest,2025-07-25T05:00:00Z,,[],,,Major,N/A
PredictHQ,Boston Red Sox vs Chicago Cubs,2025-07-20T18:20:00Z,,[],,,Major,N/A
PredictHQ,Kansas City Royals vs Chicago Cubs,2025-07-23T18:20:00Z,,[],,,Major,N/A
PredictHQ,Kansas City Royals vs Chicago Cubs,2025-07-23T00:05:00Z,,[],,,Significant,N/A
PredictHQ,Kansas City Royals vs Chicago Cubs,2025-07-22T00:05:00Z,,[],,,Significant,N/A
PredictHQ,Chicago White Sox vs Pittsburgh Pirates,2025-07-20T17:35:00Z,,[],,,Significant,N/A
PredictHQ,West Fest Chicago,2025-07-18T05:00:00Z,,[],,,Significant,N/A
PredictHQ,Chicago Cubs vs Chicago White Sox,2025-07-26T23:10:00Z,,[],,,Significant,N/A
PredictHQ,Chicago Cubs vs Chicago White Sox,2025-07-25T23:40:00Z,,[],,,Significant,N/A
PredictHQ,Chicago Cubs vs Chicago White Sox,2025-07-27T18:10:00Z,,[],,,Significant,N/A
PredictHQ,ATEEZ,2025-07-27T00:30:00Z,,[],,,Significant,N/A
PredictHQ,MLS - New York RB vs Chicago Fire,2025-07-27T00:30:00Z,,[],,,Significant,N/A
PredictHQ,Cactus & Succulent Society of Greater Chicago Show & Sale,2025-07-19T15:00:00Z,,[],,,Significant,N/A
PredictHQ,Chicago Toy Show,2025-07-27T13:00:00Z,,[],,,Significant,N/A
PredictHQ,Chicago White Sox vs Tampa Bay Rays,2025-07-22T23:35:00Z,,[],,,Significant,N/A
PredictHQ,Chicago White Sox vs Tampa Bay Rays,2025-07-23T23:35:00Z,,[],,,Significant,N/A
PredictHQ,Chicago White Sox vs Tampa Bay Rays,2025-07-21T23:35:00Z,,[],,,Significant,N/A
PredictHQ,ASI Show Chicago,2025-07-22T14:00:00Z,,[],,,Significant,N/A
PredictHQ,WNBA - Indiana Fever vs Chicago Sky,2025-07-27T19:00:00Z,,[],,,Significant,N/A
PredictHQ,"Bridal Expo Chicago,  Sun, July 27th,  Embassy Suites Naperville, 11a-3p",2025-07-27T16:00:00Z,,[],,,Significant,N/A
PredictHQ,Big3 3x3 - Dallas Power 3x3 vs Miami 305 3x3,2025-07-20T20:00:00Z,,[],,,Significant,N/A
PredictHQ,Chicago Sky vs Minnesota Lynx,2025-07-23T00:00:00Z,,[],,,Significant,N/A
PredictHQ,Indiana Fever vs Chicago Sky,2025-07-27T19:00:00Z,,[],,,Significant,N/A
PredictHQ,Seattle Storm vs Chicago Sky,2025-07-25T00:30:00Z,,[],,,Significant,N/A
PredictHQ,Polish & Beauty Expo Chicago 2025,2025-07-19T15:00:00Z,,[],,,Significant,N/A
PredictHQ,Polish & Beauty Expo Chicago Sunday July 2025,2025-07-20T18:00:00Z,,[],,,Significant,N/A
PredictHQ,Big3 3x3 - Boston Ball Hogs 3x3 vs Chicago Triplets 3x3,2025-07-26T20:00:00Z,,[],,,Significant,N/A
PredictHQ,School City of East Chicago - Summer Break,2025-05-24T00:00:00Z,,[],,,Significant,N/A
PredictHQ,Chicago,2025-07-27T00:00:00Z,,[],,,Significant,N/A
PredictHQ,Chicago,2025-07-27T23:00:00Z,,[],,,Significant,N/A
PredictHQ,Chicago,2025-07-24T00:00:00Z,,[],,,Significant,N/A
PredictHQ,Lord Huron with Indigo De Souza,2025-07-20T23:30:00Z,,[],,,Significant,N/A
PredictHQ,West Chicago Elementary School District 33 - Summer Break,2025-06-13T00:00:00Z,,[],,,Significant,N/A
PredictHQ,North Chicago School District 187 - Summer Break,2025-06-03T00:00:00Z,,[],,,Significant,N/A
PredictHQ,Yeah Yeah Yeahs,2025-07-23T00:30:00Z,,[],,,Significant,N/A
PredictHQ,Chicago Heights School District 170 - Summer Break,2025-05-24T00:00:00Z,,[],,,Important,N/A
PredictHQ,Deep Dish,2025-07-20T03:00:00Z,,[],,,Important,N/A
PredictHQ,Silversun Pickups,2025-07-21T00:30:00Z,,[],,,Important,N/A
PredictHQ,The Warning,2025-07-23T00:00:00Z,,[],,,Important,N/A
PredictHQ,Francis Ford Coppola at Chicago Theatre,2025-07-26T00:00:00Z,,[],,,Important,N/A
PredictHQ,Chicago,2025-07-26T00:00:00Z,,[],,,Important,N/A
PredictHQ,Park Forest-Chicago Heights School District 163 - Summer Break,2025-05-31T00:00:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-26T19:00:00Z,,[],,,Important,N/A
PredictHQ,"Blues Traveler with Gin Blossoms, Spin Doctors",2025-07-27T01:00:00Z,,[],,,Important,N/A
PredictHQ,"Chicago Yarn Crawl 2025 – AriYARN Shop and Studio, Park Ridge",2025-07-26T15:00:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-25T00:00:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-23T18:00:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-20T23:30:00Z,,[],,,Important,N/A
PredictHQ,12th Annual Chicago International Dragon Boat Festival,2025-07-26T14:00:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-20T00:30:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-24T00:00:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-27T00:30:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-26T00:30:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-20T18:00:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-27T23:30:00Z,,[],,,Important,N/A
PredictHQ,Beauty And The Beast at Cadillac Palace Theatre,2025-07-27T18:00:00Z,,[],,,Important,N/A
PredictHQ,West Fest Chicago at Chicago Avenue,2025-07-19T05:00:00Z,,[],,,Important,N/A
PredictHQ,IDSA WID Chicago Salon Series - Museum Night,2025-07-22T23:00:00Z,,[],,,Important,N/A
PredictHQ,Chicago Ridge School District 127.5 - Summer Break,2025-06-07T00:00:00Z,,[],,,Important,N/A
PredictHQ,Winfield Food Truck Festival,2025-07-20T17:00:00Z,,[],,,Important,N/A
PredictHQ,Slayyyter,2025-07-27T02:00:00Z,,[],,,Important,N/A
PredictHQ,Dubai Luxury Property Show | Ritz Carlton | Chicago V1,2025-07-26T15:00:00Z,,[],,,Important,N/A
PredictHQ,The Crane Wives,2025-07-27T00:30:00Z,,[],,,Important,N/A
PredictHQ,Kheemerfest V,2025-07-19T19:00:00Z,,[],,,Important,N/A
PredictHQ,Chicago,2025-07-23T00:00:00Z,,[],,,Important,N/A
PredictHQ,Cumbiatron,2025-07-20T02:00:00Z,,[],,,Important,N/A
PredictHQ,Chicago Symphony Orchestra Chamber Music: Rory McEwen - A New Perspective on Nature,2025-07-22T23:30:00Z,,[],,,Important,N/A
PredictHQ,Jon B.,2025-07-27T00:00:00Z,,[],,,Important,N/A
PredictHQ,"Natural Hair Fest® CHICAGO Creativity, Community & Culture",2025-07-27T15:00:00Z,,[],,,Important,N/A
PredictHQ,Anders Osborne,2025-07-26T01:00:00Z,,[],,,Important,N/A
PredictHQ,SalaamFest V2,2025-07-19T18:00:00Z,,[],,,Important,N/A
PredictHQ,The Travelin' McCourys,2025-07-27T01:00:00Z,,[],,,Important,N/A
PredictHQ,Anders Osborne,2025-07-25T01:00:00Z,,[],,,Important,N/A
PredictHQ,Gran Festival Colombiano - Chicago,2025-07-19T18:00:00Z,,[],,,Important,N/A
PredictHQ,Windy City Market Vintage & Artisan Fest in the loop,2025-07-19T17:00:00Z,,[],,,Important,N/A
PredictHQ,Teacher Comedy Night - CHICAGO - The Unteachables Live!,2025-07-21T00:00:00Z,,[],,,Important,N/A
PredictHQ,Scene Queen,2025-07-21T00:00:00Z,,[],,,Important,N/A
PredictHQ,SOLD OUT Reggaeton Fest 2025 on Oak Street Beach New Date Announced,2025-07-19T19:00:00Z,,[],,,Important,N/A
PredictHQ,Odd Man Out,2025-07-20T21:00:00Z,,[],,,Important,N/A
PredictHQ,Volleywood: Chicago’s Biggest Beachfront Music Fest,2025-07-19T16:00:00Z,,[],,,Important,N/A
PredictHQ,Chicago Beef Joint Summer Concerts Series,2025-07-26T23:00:00Z,,[],,,Important,N/A
PredictHQ,The Vault Market - Chicago,2025-07-19T17:00:00Z,,[],,,Important,N/A
PredictHQ,Chicago Startup Weekend,2025-07-18T14:00:00Z,,[],,,Important,N/A
PredictHQ,Chicago Summer Tequila Tasting Festival,2025-07-26T05:00:00Z,,[],,,Important,N/A
PredictHQ,The Perspective Tour Chicago,2025-07-27T15:00:00Z,,[],,,Important,N/A
PredictHQ,IAAP Summit Chicago,2025-07-19T14:00:00Z,,[],,,Important,N/A
PredictHQ,Caffeine and Chrome – Gateway Classic Cars of Chicago,2025-07-26T14:00:00Z,,[],,,Important,N/A
PredictHQ,"""ALL THE FEELS"" Chicago (R&B, Trap & Twerk)",2025-07-20T03:00:00Z,,[],,,Important,N/A
PredictHQ,Youth Basketball - 4th Annual Chicago Jam Fest National Showdown,2025-07-25T05:00:00Z,,[],,,Important,N/A
PredictHQ,"IAAP Summit 2025 Conference | Chicago, IL",2025-07-18T16:00:00Z,,[],,,Important,N/A
